"","RiskPerformance","ExternalRiskEstimate","MSinceOldestTradeOpen","MSinceMostRecentTradeOpen","AverageMInFile","NumSatisfactoryTrades","NumTrades60Ever2DerogPubRec","NumTrades90Ever2DerogPubRec","PercentTradesNeverDelq","MSinceMostRecentDelq","MaxDelq2PublicRecLast12M","MaxDelqEver","NumTotalTrades","NumTradesOpeninLast12M","PercentInstallTrades","MSinceMostRecentInqexcl7days","NumInqLast6M","NumInqLast6Mexcl7days","NetFractionRevolvingBurden","NetFractionInstallBurden","NumRevolvingTradesWBalance","NumInstallTradesWBalance","NumBank2NatlTradesWHighUtilization","PercentTradesWBalance","No_report","No_valid_MSinceOldestTradeOpen","No_valid_MSinceMostRecentDelq","No_valid_MSinceMostRecentInqexcl7days","No_valid_NetFractionRevolvingBurden","No_valid_NetFractionInstallBurden","No_valid_NumRevolvingTradesWBalance","No_valid_NumInstallTradesWBalance","No_valid_NumBank2NatlTradesWHighUtilization","No_MSinceMostRecentDelq","No_MSinceMostRecentInqexcl7days"
"2757","Good",67,137.645,14,67,3,1,1,100,39.33,"6","8",0,0,0,0,2,2,42,57.14,2,1.156,0,100,"0","1","0","0","0","1","0","1","0","1","0"
"5107","Good",66,498,1,114,43,3,1,90,9,"3","3",48,3,31,3,1,1,10,65.545,3,1,0,45,"0","0","0","0","0","1","0","0","0","0","0"
"9145","Bad",62,281,1,54,41,0,0,85,2,"4","6",47,7,47,0,6,5,34,87,7,3,1,67,"0","0","0","0","0","0","0","0","0","0","0"
"9209","Good",68,158,2,63,42,1,1,91,4,"4","4",47,5,40,0,2,2,5,62,4,4,0,57,"0","0","0","0","0","0","0","0","0","0","0"
"2888","Bad",77,187,8,44,14,0,0,93,56,"6","6",28,2,21,1,1,1,5,74.2416666666667,4,1,0,71,"0","0","0","0","0","1","0","0","0","0","0"
"6170","Bad",71,243,2,65,29,0,0,97,5,"4","6",30,6,10,3.7455652173913,0,0,4,95,5,2,0,47,"0","0","0","0","0","0","0","0","0","0","1"
"2567","Good",75,204,17,86,28,1,1,100,18.0983333333333,"0","8",46,0,10,14,0,0,1,49,2,1,0,19,"0","0","0","0","0","0","0","0","0","1","0"
"9642","Bad",67,153,1,44,22,0,0,100,34.954347826087,"7","8",24,5,33,0,3,2,26,20,11,2,1,87,"0","0","0","0","0","0","0","0","0","1","0"
"2980","Bad",77,178,9,52,20,0,0,100,34.0233015873016,"7","8",20,1,20,0,5,5,17,53,6,3,0,56,"0","0","0","0","0","0","0","0","0","1","0"
"1614","Bad",56,295,1,115,22,1,1,81,1,"4","4",27,2,33,0,0,0,66,88,4,4,1,73,"0","0","0","0","0","0","0","0","0","0","0"
"555","Good",87,205,20,102,14,0,0,100,33.457,"7","8",18,0,56,5.76111111111111,0,0,5,74,2,2,0,67,"0","0","0","0","0","0","0","0","0","1","1"
"4469","Good",90,332,14,145,8,0,0,100,33.36,"7","8",8,0,38,7.73819696969697,0,0,4,24,2,1,0,60,"0","0","0","1","0","0","0","0","0","1","0"
"9359","Bad",72,133,4,58,20,0,0,100,36.57,"7","8",20,2,30,0,1,1,56,83,5,3,2,100,"0","0","0","0","0","0","0","0","0","1","0"
"7789","Good",84,213,10,74,33,0,0,97,39,"6","6",35,1,26,9,0,0,11,61.1306666666667,4,1,0,50,"0","0","0","0","0","1","0","0","0","0","0"
"9097","Good",72,158,6,81,11,0,0,80,2,"4","6",15,3,7,11,0,0,11,64.652,3,1,0,44,"0","0","0","0","0","1","0","0","0","0","0"
"1047","Bad",67,132,7,38,11,1,1,100,19.49,"0","8",12,4,36,0,3,3,35,97,3,3,0,75,"0","0","0","0","0","0","0","0","0","1","0"
"7067","Bad",88,177,2,65,14,0,0,100,39.315,"7","8",15,2,53,5.12081918564527,0,0,4,93,2,2,0,80,"0","0","0","0","0","0","0","0","0","1","1"
"3004","Bad",60,197,4,70,6,2,2,71,25,"5","2",7,1,14,0,1,1,23,82,3,1,1,80,"0","0","0","0","0","0","0","0","0","0","0"
"3207","Good",91,225,4,121,12,0,0,100,33.82,"7","8",28,2,25,7.59493696362117,0,0,3,62.0965714285714,2,1,0,60,"0","0","0","1","0","1","0","0","0","1","0"
"7989","Good",65,259.9525,6,87,39,0,0,93,25,"6","6",42,2,29,6.86952380952381,0,0,66,76,12,3,4,77,"0","1","0","0","0","0","0","0","0","0","1"
"3995","Bad",81,398,6,87,31,1,1,88,9,"4","4",32,1,31,0,0,0,10,58,3,2,0,45,"0","0","0","0","0","0","0","0","0","0","0"
"8358","Bad",61,109,4,48,11,0,0,92,5,"4","6",13,2,62,0,5,5,64,82,2,2,1,80,"0","0","0","0","0","0","0","0","0","0","0"
"217","Good",76,220,4,87,31,0,0,94,43,"6","6",31,3,55,5,1,1,31,64,4,2,0,60,"0","0","0","0","0","0","0","0","0","0","0"
"9506","Bad",60,206,9,40,8,2,2,88,30.05,"6","6",9,2,88,3.9685,0,0,99,81,1,5,1,100,"0","0","1","0","0","0","0","0","0","0","1"
"8157","Bad",56,274,15,91,29,2,1,78,4,"4","3",32,0,3,0,0,0,33,51.766,14,1.5,3,56,"0","0","0","0","0","1","0","1","0","0","0"
"6216","Good",53,325,21,114,24,0,0,80,0,"4","6",26,0,24,1.25681818181818,1,1,82,79,9,4,6,82,"0","0","0","0","0","0","0","0","0","0","1"
"8780","Bad",85,325,11,79,39,0,0,98,37.6156904761905,"5","7",41,1,29,0,2,2,19,80,3,5,0,57,"0","0","0","0","0","0","0","0","0","1","0"
"1599","Good",72,225,9,56,17,0,0,100,32.386847826087,"7","8",17,5,12,0,2,2,50,65.5488387096774,7,1,1,69,"0","0","0","0","0","1","0","0","0","1","0"
"4237","Good",89,400,30,141,15,0,0,100,28.8506547619048,"7","8",15,0,27,7.78328446455505,0,0,7,49.1612222222222,2,1,0,43,"0","0","0","1","0","1","0","0","0","1","0"
"3937","Good",64,161,6,90,15,1,1,76,57,"6","2",17,3,24,0,1,1,66,72.0248484848485,3,1.07,1,57,"0","0","0","0","0","1","0","1","0","0","0"
"4089","Bad",70,238,5,66,23,0,0,88,11,"4","6",24,5,33,3.88707107843137,0,0,25,80.005,3,2,1,50,"0","0","0","0","0","1","0","0","0","0","1"
"2907","Bad",81,166,4,60,20,0,0,100,31.4111111111111,"7","8",21,1,20,5,1,1,0,3,1,3,0,25,"0","0","0","0","0","0","0","0","0","1","0"
"294","Bad",57,123,13,57,5,6,6,71,29,"6","2",8,0,29,0,2,2,100,60.68,1,1,1,100,"0","0","0","0","0","1","0","0","0","0","0"
"8469","Bad",79,256,17,117,5,0,0,50,17,"6","6",6,0,0,0,2,1,0,61.4283333333333,1,1.226,0,33,"0","0","0","0","0","1","0","1","0","0","0"
"41","Good",86,318,18,90,13,0,0,100,38.515,"7","8",13,0,62,0,0,0,0,44,0,2,0.0599999999999999,50,"0","0","0","0","0","0","0","0","1","1","0"
"8508","Good",72,179,10,100,27,0,0,96,74,"6","6",28,1,32,0,0,0,70,69.0804444444445,4,1,1,86,"0","0","0","0","0","1","0","0","0","0","0"
"7391","Bad",72,103,9,58,16,2,0,89,59,"6","5",19,1,6,1,1,1,14,62.6712857142857,2,1.03,1,18,"0","0","0","0","0","1","0","1","0","0","0"
"6672","Bad",60,282,23,108,5,4,1,50,13,"5","4",10,0,40,0,1,1,115,62,4,3,2,88,"0","0","0","0","0","0","0","0","0","0","0"
"7284","Good",88,237,16,119,10,0,0,100,36.7341666666667,"7","8",10,0,10,23,0,0,1,53.5085483091787,4,1,0,56,"0","0","0","0","0","1","0","0","0","1","0"
"2504","Bad",60,163,2,57,43,1,0,96,22,"6","5",47,11,44,0,8,8,35,62,7,1,1,47,"0","0","0","0","0","0","0","0","0","0","0"
"6742","Good",88,161,4,97,29,0,0,100,32.7066666666667,"7","8",33,3,48,0,2,2,7,74.5378333333333,1,1,0,33,"0","0","0","0","0","1","0","0","0","1","0"
"9375","Bad",60,9,3,5,5,0,0,100,34.2692857142857,"7","8",5,5,20,0,7,7,36,81.7841666666667,2,1,1,80,"0","0","0","0","0","1","0","0","0","1","0"
"8944","Good",80,185,2,64,41,0,0,100,31.3654166666667,"7","8",46,5,37,0,4,4,3,93,4,4,0,56,"0","0","0","0","0","0","0","0","0","1","0"
"8566","Bad",61,256,12,99,14,1,0,68,2,"4","5",19,0,58,3.87869318181818,0,0,63,89,2,4,1,88,"0","0","0","0","0","0","0","0","0","0","1"
"6129","Bad",63,66,9,52,3,1,1,75,6,"4","6",4,1,75,0.73,1,1,71,132,1,1,0,100,"0","0","0","0","0","0","0","0","0","0","1"
"4612","Bad",81,261,4,67,22,0,0,100,32.3142684610076,"7","8",24,2,33,0,1,1,29,68,3,3,1,50,"0","0","0","0","0","0","0","0","0","1","0"
"2117","Bad",71,210.872,16,161,6,1,0,86,23,"6","5",0,0,29,8.40129353233831,0,0,88,59.71125,2,1,1,100,"0","1","0","0","0","1","0","0","0","0","1"
"6134","Bad",73,246,7,105,22,0,0,91,13,"6","6",23,1,32,2.40111111111111,0,0,19,64.4395238095238,4,1,0,38,"0","0","0","0","0","1","0","0","0","0","1"
"755","Good",87,348,11,127,26,0,0,100,33.9875,"7","8",26,1,27,0,3,3,14,48,2,3,1,50,"0","0","0","0","0","0","0","0","0","1","0"
"6553","Good",89,395,2,132,11,0,0,100,37.48,"7","8",12,1,25,2,2,2,7,99,3,1,0,67,"0","0","0","0","0","0","0","0","0","1","0"
"5428","Good",85,139,2,59,11,0,0,100,32.0133333333333,"7","8",12,1,0,7.61214285714286,0,0,6,58.56,5,1.12,0,71,"0","0","0","0","0","1","0","1","0","1","1"
"9198","Good",93,317,163,273,4,0,0,100,39.0971153846154,"7","8",4,0,25,0,0,0,1,52.015,2,1.11,0,100,"0","0","0","0","0","1","0","1","0","1","0"
"7127","Bad",70,226,5,74,22,0,0,91,66,"6","6",22,1,32,3.46486274509804,0,0,61,94,5,2,2,64,"0","0","0","0","0","0","0","0","0","0","1"
"9640","Bad",64,199,23,69,18,1,1,89,18,"5","6",20,0,20,0,2,2,51,0,7,3,2,67,"0","0","0","0","0","0","0","0","0","0","0"
"3358","Good",64,173,1,69,43,0,0,93,3,"4","6",55,4,20,0,2,2,11,100,4,2,0,35,"0","0","0","0","0","0","0","0","0","0","0"
"3980","Bad",65,54,13,34,9,0,0,100,31.1,"7","8",9,0,33,0,0,0,90,58,4,2,3,86,"0","0","0","0","0","0","0","0","0","1","0"
"9326","Bad",60,255,2,99,9,1,0,50,4,"4","5",14,1,43,0,1,1,64,56,4,4,2,80,"0","0","0","0","0","0","0","0","0","0","0"
"3230","Good",88,168,11,72,23,0,0,100,29.354,"7","8",28,1,13,7.63183764665286,0,0,2,49.910119047619,1,1,0,22,"0","0","0","1","0","1","0","0","0","1","0"
"5603","Bad",63,246,5,113,10,0,0,90,5,"4","6",10,1,20,6,0,0,97,68.4875,5,1,4,86,"0","0","0","0","0","1","0","0","0","0","0"
"9693","Good",89,385,6,94,15,0,0,100,39.8616666666667,"7","8",16,1,44,4,1,1,7,73.3689285714286,2,1,0,100,"0","0","0","0","0","1","0","0","0","1","0"
"4576","Good",84,204,5,58,24,0,0,100,36.75875,"7","8",26,5,38,1,2,1,2,96,4,2,0,46,"0","0","0","0","0","0","0","0","0","1","0"
"3783","Good",69,145,4,67,20,1,1,100,39.04,"6","8",20,1,25,0,4,4,44,54,4,2,1,86,"0","0","0","0","0","0","0","0","0","1","0"
"7831","Bad",78,175,5,93,27,0,0,100,33.6328571428571,"7","8",28,2,7,0,2,2,19,63.1646666666667,6,1,1,41,"0","0","0","0","0","1","0","0","0","1","0"
"5967","Bad",71,80,6,45,27,0,0,100,28.1558333333333,"7","8",27,1,33,0,0,0,43,96,3,3,1,46,"0","0","0","0","0","0","0","0","0","1","0"
"9301","Bad",61,215,14,120,16,0,0,89,4,"4","6",18,0,39,0,2,2,45,63.648,5,1,2,67,"0","0","0","0","0","1","0","0","0","0","0"
"7816","Good",78,192,4,104,16,1,1,94,78,"6","2",17,1,6,0,3,3,7,63.6757142857143,2,1,0,33,"0","0","0","0","0","1","0","0","0","0","0"
"9267","Bad",63,70,6,35,5,2,2,83,66,"6","2",7,2,67,0,9,7,15,81,1,2,0.4,100,"0","0","0","0","0","0","0","0","1","0","0"
"1386","Bad",58,53,4,21,12,0,0,100,28.9393333333333,"7","8",12,3,33,0,3,3,93,96,5,1,2,75,"0","0","0","0","0","0","0","0","0","1","0"
"4706","Bad",59,140,6,62,20,2,1,91,32,"6","2",23,4,61,0,2,2,99,87,8,4,5,100,"0","0","0","0","0","0","0","0","0","0","0"
"2378","Bad",58,191,2,75,16,2,2,67,5,"4","4",15,3,62,0.59,2,2,0,44,1,5,0,55,"0","0","0","0","0","0","0","0","0","0","1"
"4044","Bad",57,92,11,31,12,0,0,92,5,"4","6",12,2,17,0.519999999999999,1,1,87,73.0566666666667,7,1,2,80,"0","0","0","0","0","1","0","0","0","0","1"
"686","Bad",80,347,8,76,24,0,0,100,32.2304166666667,"7","8",26,2,54,10,0,0,13,54,2,3,1,71,"0","0","0","0","0","0","0","0","0","1","0"
"6078","Good",84,373,16,107,32,0,0,100,31.274,"7","8",32,0,38,0,1,1,14,30,7,5,0,67,"0","0","0","0","0","0","0","0","0","1","0"
"5027","Good",83,130,7,62,15,0,0,100,33.5702450980392,"7","8",15,1,33,6,0,0,13,66.1938095238095,3,1,0,57,"0","0","0","0","0","1","0","0","0","1","0"
"6387","Good",77,496,39,177,17,0,0,95,8,"4","6",20,0,65,3,2,1,4,46.0518181818182,2,3,0,50,"0","0","0","0","0","1","0","0","0","0","0"
"9039","Bad",68,226,1,98,24,2,2,80,28,"6","3",30,2,57,8,0,0,28,92,1,2,0.84,75,"0","0","0","0","0","0","0","0","1","0","0"
"7281","Bad",80,115,3,44,11,0,0,100,34.857619047619,"7","8",12,2,55,6,0,0,27,55,1,2,0,50,"0","0","0","0","0","0","0","0","0","1","0"
"9175","Good",61,308,3,67,58,1,1,98,10,"0","2",71,8,21,4,1,1,53,41,3,3,0,64,"0","0","0","0","0","0","0","0","0","0","0"
"4715","Bad",54,116,17,46,12,4,1,50,5,"3","4",16,0,38,0.56,2,1,81,60.49,6,1,1,88,"0","0","0","0","0","1","0","0","0","0","1"
"151","Bad",72,132,2,65,25,0,0,100,31.2825,"7","8",26,3,42,2,3,3,40,70,5,3,2,73,"0","0","0","0","0","0","0","0","0","1","0"
"6810","Bad",55,63,5,39,21,1,1,86,6,"4","6",22,3,38,0,3,3,31,79,6,3,1,92,"0","0","0","0","0","0","0","0","0","0","0"
"8174","Bad",71,179,7,69,34,0,0,100,27.2016666666667,"7","8",34,3,29,0,1,1,34,83,7,3,1,50,"0","0","0","0","0","0","0","0","0","1","0"
"6911","Bad",68,117,12,57,25,0,0,96,21,"6","6",25,0,4,0,2,2,31,63.1166666666667,6,1.14,1,70,"0","0","0","0","0","1","0","1","0","0","0"
"2208","Good",66,131,13,83,4,4,4,67,67,"6","2",41,0,33,5.56,0,0,67,60.64,2,1,0,100,"0","0","0","0","0","1","0","0","0","0","1"
"1029","Good",69,220,7,93,30,0,0,97,2,"4","6",30,1,30,1,1,1,14,73,6,2,1,69,"0","0","0","0","0","0","0","0","0","0","0"
"8518","Bad",69,198,1,84,17,1,1,89,13,"6","6",20,3,55,0,2,2,16,95,2,3,1,63,"0","0","0","0","0","0","0","0","0","0","0"
"7448","Bad",62,83,1,38,13,2,1,93,36,"0","5",15,4,60,7,0,0,3,74,1,4,0,63,"0","0","0","0","0","0","0","0","0","0","0"
"7735","Bad",60,205,4,74,32,0,0,88,4,"4","6",34,5,59,0.54,4,4,32,62,4,3,0,80,"0","0","0","0","0","0","0","0","0","0","1"
"8011","Good",84,190,21,111,18,0,0,100,28.5429166666667,"7","8",19,0,28,19,0,0,24,46.8590476190476,2,1,1,33,"0","0","0","0","0","1","0","0","0","1","0"
"1956","Bad",73,25,3,57,19,0,0,100,30.7975,"7","8",11,1,10,4.83666666666667,0,0,56,58.028,8,1,3,75,"0","0","0","0","0","1","0","0","0","1","1"
"8172","Bad",70,386,2,122,18,1,0,90,80,"6","5",20,1,15,0,0,0,77,99,6,2,3,57,"0","0","0","0","0","0","0","0","0","0","0"
"5358","Good",70,203,3,68,20,1,1,80,14,"6","4",25,3,40,0,0,0,43,10,7,3,1,79,"0","0","0","0","0","0","0","0","0","0","0"
"5884","Bad",64,184,6,130,5,1,1,83,2,"0","2",6,1,0,0,0,0,10,62.0813725490196,1,1.27,0,40,"0","0","0","0","0","1","0","1","0","0","0"
"4093","Bad",76,132,5,54,24,0,0,96,80,"6","6",24,3,17,1.15,1,1,15,91,4,2,1,75,"0","0","0","0","0","0","0","0","0","0","1"
"985","Good",71,65,3,31,20,0,0,100,37.1926811594203,"7","8",20,5,20,0,1,1,41,75,4,2,1,50,"0","0","0","0","0","0","0","0","0","1","0"
"6183","Good",89,122,5,60,44,0,0,100,45.9491666666667,"6","7",56,3,79,1.225,3,3,2,97,1,4,0,63,"0","0","0","0","0","0","0","0","0","1","1"
"986","Good",70,118,7,45,17,0,0,88,11,"4","6",17,4,35,0,0,0,15,76.6985984848485,1,1,0,29,"0","0","0","0","0","1","0","0","0","0","0"
"4233","Bad",72,75,8,52,3,0,0,100,41.5166666666667,"7","8",3,1,0,0,1,1,74,72.3892857142857,3,1.12,2,100,"0","0","0","0","0","1","0","1","0","1","0"
"1584","Bad",68,155,13,48,10,2,2,90,8,"4","6",12,0,40,0,0,0,59,49,3,4,0,100,"0","0","0","0","0","0","0","0","0","0","0"
"4685","Bad",58,42,5,21,8,0,0,88,1,"4","6",8,2,50,0,0,0,50,92,2,2,1,80,"0","0","0","0","0","0","0","0","0","0","0"
"7864","Bad",79,373,34,136,13,1,0,71,14,"6","5",15,0,13,0,3,3,1,46.7885714285714,2,1,0,38,"0","0","0","0","0","1","0","0","0","0","0"
"4776","Good",81,153,21,63,28,0,0,100,31.59075,"7","8",29,0,34,0,1,1,17,57.822,3,1,1,40,"0","0","0","0","0","1","0","0","0","1","0"
"6644","Bad",62,113,9,62,18,2,2,86,5,"0","2",21,1,38,0,0,0,48,44,3,3,2,75,"0","0","0","0","0","0","0","0","0","0","0"
"9767","Good",86,199,8,94,32,0,0,100,31.4546666666667,"7","8",32,1,31,19,0,0,18,39,3,2,0,42,"0","0","0","0","0","0","0","0","0","1","0"
"8536","Bad",66,87,6,51,31,0,0,100,35.6882142857143,"5","7",31,4,32,2.9,0,0,49,91,8,3,1,79,"0","0","0","0","0","0","0","0","0","1","1"
"7478","Good",81,356,12,120,32,1,1,94,53,"6","4",34,0,32,0,1,1,5,59.39,7,3,0,56,"0","0","0","0","0","1","0","0","0","0","0"
"2507","Bad",74,158,8,88,37,0,0,97,24,"6","6",4,1,42,0,2,2,37,56,3,4,1,78,"0","0","0","0","0","0","0","0","0","0","0"
"195","Bad",67,85,16,48,17,1,0,89,20,"6","5",18,0,61,4,1,1,44,77,1,2,0,75,"0","0","0","0","0","0","0","0","0","0","0"
"3124","Good",61,132,1,53,31,1,1,91,37,"0","6",42,6,24,3,3,3,32,72,4,2,2,50,"0","0","0","0","0","0","0","0","0","0","0"
"6678","Good",79,125,20,64,11,0,0,100,35.0123214285714,"7","8",12,0,33,0,1,1,22,62.6178787878788,3,1,0,80,"0","0","0","0","0","1","0","0","0","1","0"
"4650","Bad",78,75,4,35,13,0,0,100,32.9591666666667,"7","8",14,2,50,4,1,1,37,73,4,3,0,78,"0","0","0","0","0","0","0","0","0","1","0"
"2132","Good",77,196,3,75,37,0,0,95,16,"6","6",34,2,30,1.37778185328185,2,2,13,82,4,5,0,47,"0","0","0","0","0","0","0","0","0","0","1"
"3464","Bad",67,190,17,83,29,1,0,93,74,"6","5",28,0,27,17,0,0,72,64.2296923076923,7,1,3,67,"0","0","0","0","0","1","0","0","0","0","0"
"9518","Bad",63,132,8,65,4,0,0,50,1,"4","6",6,1,67,3.08205882352941,0,0,0,56,0,2,0,75,"0","0","0","0","0","0","0","0","0","0","1"
"3949","Good",88,196,5,85,32,0,0,100,31.7,"7","8",32,1,16,0,1,1,8,64.7091666666667,1,1.32833333333333,0,10,"0","0","0","0","0","1","0","1","0","1","0"
"7757","Good",72,239,7,86,28,0,0,93,19,"6","6",30,3,29,1.01,5,5,11,38,6,3,1,82,"0","0","0","0","0","0","0","0","0","0","1"
"2758","Good",68,123,20,44,7,0,0,86,10,"6","6",7,0,29,1,1,1,26,72,2,2,0,80,"0","0","0","0","0","0","0","0","0","0","0"
"3833","Good",77,147,3,72,29,0,0,93,52,"6","6",30,3,37,0,2,2,31,74,3,4,0,70,"0","0","0","0","0","0","0","0","0","0","0"
"712","Bad",84,305,5,86,45,0,0,100,34.9216666666667,"7","8",46,2,35,0,3,3,22,84,4,3,0,47,"0","0","0","0","0","0","0","0","0","1","0"
"9644","Bad",66,113,2,65,21,1,0,96,31,"6","5",23,2,35,6,0,0,66,96,6,5,3,86,"0","0","0","0","0","0","0","0","0","0","0"
"5370","Bad",59,221,4,78,12,4,1,61,27,"6","3",19,3,26,0,2,2,88,87,10,2,5,100,"0","0","0","0","0","0","0","0","0","0","0"
"3501","Good",85,425,8,109,36,0,0,100,31.2775,"7","8",35,1,14,4,1,1,5,64.2431359649123,3,1,0,36,"0","0","0","0","0","1","0","0","0","1","0"
"3069","Bad",54,127,17,101,8,0,0,88,3,"4","6",3,0,25,3,1,1,68,57.77,5,1.215,3,100,"0","0","0","0","0","1","0","1","0","0","0"
"8720","Good",72,232,2,98,33,0,0,97,9,"4","6",36,3,64,3,2,2,22,92,3,6,0,77,"0","0","0","0","0","0","0","0","0","0","0"
"4055","Bad",72,117,1,48,13,1,0,87,72,"6","5",15,1,47,0.77,3,3,42,100,3,2,0,100,"0","0","0","0","0","0","0","0","0","0","1"
"473","Bad",69,188,3,54,9,1,0,80,9,"4","5",11,1,70,1.04,2,2,48.6153333333333,115,1.78,3,0.815,100,"0","0","0","0","1","0","1","0","1","0","1"
"6098","Good",77,338,2,109,16,2,2,90,65,"6","2",21,1,14,0,1,1,2,62.3626666666667,1,1,0,22,"0","0","0","0","0","1","0","0","0","0","0"
"1149","Good",77,242,15,97,23,0,0,100,32.3706811594203,"7","8",23,0,4,0,0,0,44,58.5395,5,1,2,50,"0","0","0","0","0","1","0","0","0","1","0"
"2037","Good",80,218,8,85,8,0,0,88,60,"6","6",2,1,38,6.6425,0,0,24,88,3,1,0,100,"0","0","0","0","0","0","0","0","0","0","1"
"2313","Good",71,63,6,161,27,0,0,89,18,"6","6",5,1,14,1.862,1,1,63,57.64,3,1,3,45,"0","0","0","0","0","1","0","0","0","0","1"
"7741","Bad",62,250,14,139,38,1,0,90,2,"4","5",41,0,24,5.81477838082316,0,0,62,65.4083333333333,9,1,3,83,"0","0","0","0","0","1","0","0","0","0","1"
"8650","Good",87,117,6,67,11,0,0,100,40.3616666666667,"7","8",12,1,8,1,4,4,3,70.7033333333333,3,1,0,67,"0","0","0","0","0","1","0","0","0","1","0"
"1078","Good",81,198,3,92,20,0,0,100,31.6810144927536,"7","8",20,1,30,0,2,2,34,76,2,4,0,60,"0","0","0","0","0","0","0","0","0","1","0"
"5015","Good",66,288,13,80,32,0,0,85,2,"4","6",33,0,33,12,0,0,43,69.3175,5,1,1,60,"0","0","0","0","0","1","0","0","0","0","0"
"5658","Good",72,172,2,76,23,1,1,96,12,"6","6",25,4,36,0,3,3,22,72.907,3,3,1,46,"0","0","0","0","0","1","0","0","0","0","0"
"6379","Good",83,177,6,77,40,1,0,98,49,"6","5",41,3,54,0,1,1,19,70,3,5,0,62,"0","0","0","0","0","0","0","0","0","0","0"
"1313","Bad",75,160,2,82,46,0,0,100,31.8928571428571,"7","8",48,2,17,0,3,3,19,73.7044444444444,10,3,1,41,"0","0","0","0","0","1","0","0","0","1","0"
"185","Good",72,145,7,57,45,0,0,100,34.45,"7","8",72,2,74,7,0,0,34,97,4,12,0,73,"0","0","0","0","0","0","0","0","0","1","0"
"7933","Bad",74,146.772,50,127,2,0,0,50,31,"6","6",2,0,50,1.93333333333333,2,2,29.6516666666667,49.12,1.4,1,0.42,100,"0","1","0","0","1","1","1","0","1","0","1"
"413","Good",85,141,6,78,10,0,0,91,77,"6","6",12,1,27,0,3,3,1,68.58,1,1,0,50,"0","0","0","0","0","1","0","0","0","0","0"
"4723","Bad",61,141,3,72,24,1,1,74,4,"4","4",27,2,33,0.911666666666667,1,1,35,89,6,3,3,77,"0","0","0","0","0","0","0","0","0","0","1"
"1333","Bad",65,360,14,67,10,1,1,55,17,"5","3",11,0,45,0,0,0,49,62.35,2,1,0.95,60,"0","0","0","0","0","1","0","0","1","0","0"
"4875","Good",76,287,9,121,35,0,0,100,27.9860144927536,"7","8",36,1,19,0,0,0,34,72,4,3,2,50,"0","0","0","0","0","0","0","0","0","1","0"
"564","Good",88,161,38,66,11,0,0,100,29.2020833333333,"7","8",12,0,25,7.42442481543225,0,0,7,45.9775,1,1.0475,0,33,"0","0","0","0","0","1","0","1","0","1","1"
